question,answer
Which types of stock held by non-affiliates are excluded from the calculation of the aggregate market value of Apple Inc.'s voting and non-voting stock?,Shares of common stock held by executive officers and directors
What type of form represents the Notes that were issued under the applicable Indenture?,Global notes
What is the maturity date of the 2026 Notes?,"November 10, 2026"
Under what circumstances may the trustee of the Notes be under no obligation to exercise any of its rights or powers under the applicable Indenture?,Unless security or indemnity satisfactory to the trustee is offered by the holders of the debt securities of a series
What did the Company repurchase in 2023 and during the fourth quarter of 2023?, Its common stock
How are RSUs vested under the 2022 Plan?,"RSUs are vested over four years, based on continued employment"
What is the fair value of RSUs that vested in 2022?,$18.2 billion
"What was the weighted-average interest rate of the Company's Commercial Paper as of September 24, 2022?",2.31%
What is the maximum number of shares that were authorized for issuance under the Director Plan at the time it was last amended?,Approximately 45 million shares (split-adjusted)
"What was the amount of the Company's quarterly cash dividend as of September 30, 2023? ",$0.24 per share
What percentage of total net sales were total operating expenses in 2023?,14%
 What was the net income for 2023?,"$96,995 million"
"What was the weighted-average interest rate of the Company's commercial paper as of September 30, 2023?",5.28%
How many RSUs were excluded from the computation of diluted earnings per share for 2023 because their effect would have been antidilutive?,24 million
"What was the amount of the Company's share repurchase activity during the three months ended September 30, 2023?","$106,595 million"
"As of September 30, 2023, what was the amount of future payments under additional leases that had not yet commenced?",$544 million
What was the maturity date of the 2026 Notes?,"November 10, 2026"
"What is the percentage of total net sales for Selling, General and Administrative in 2023?",7%
"As of October 20, 2023, how many shareholders of record were there?","23,763"
What is the maturity date of the 3.050% 2029 Notes?,"July 31, 2029"
What is the interest rate of the 2031 Notes? ,0.50%
"What is the redemption price for the 0.875% 2025 Notes, if redeemed prior to the Par Call Date?","The greater of 100% of the principal amount or the sum of the present values of the remaining scheduled payments of principal and interest, plus 15 basis points, discounted to the date of redemption."
